"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"RPL22",11,17613,0,1276,3,3,2,0,4113,0,6,2757,1,0,0,2,4,4,0,0
"RPL11",10,44452,2,7,1,8,2,2,3,5941,73,85876,1,2,7108,14,11,7,15636,0
"SH3BGRL3",9,26379,31,129750,4,10,0,0,0,2,14,16,0,2,14235,0,0,7436,0,0
"ZMPSTE24",18,31732,0,4,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS8",7,37993,12,12812,1,6,2,3,21,8,5,16924,0,3,8542,0,0,6669,59274,4
"EFCAB14",9,17410,3,0,0,0,2,0,0,12,2,0,0,0,0,0,0,3,0,0
"PRKACB",2,7069,16,0,2,3,2,0,0,0,6,2,4,23,40403,14,1,0,0,0
"LRRC8C",9,18235,16,2,2,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0
"RPL5",9,25294,12,4,0,17,25397,0,6,0,29,1,0,8,13530,0,0,10,9,0
"STXBP3",4,9752,13,14,33,140,478724,0,0,0,0,1,0,0,0,0,0,0,0,0
"NBPF8",1,601,0,0,0,0,0,8,16,10251,45,4,33,34,100,68,0,0,4,1
"NBPF26",2,505,2,0,1,1,1,10,16,18031,37,0,0,7,165,57,2,1,0,0
"NBPF15",1,610,2,2,0,0,13,0,35,22484,14,0,0,0,29,40,0,1,6,0
"NBPF20",2,1212,0,2,0,0,19,6,14,25488,0,2,0,69,742,21,25,6,3,3
"RBM8A",8,600,11,7,111,118733,10,0,0,0,8,0,0,0,0,17,0,0,0,0
"NBPF10",2,43,10,2,0,0,1,9,0,4075,14,0,0,5,449,38,0,1,0,0
"NUDT4P2",0,21,1,3,6673,48,64274,0,0,6,0,0,0,0,0,0,0,2,0,1
"NBPF12",8,271,4,0,0,0,0,6,22,40369,21,13,0,12,87,66,0,7,3,2
"NBPF14",0,148,10,2,0,0,3,9,0,8807,25,0,0,4,501,46,1,0,8,0
"NUDT4B",0,21,1,3,6673,48,64280,0,0,6,0,0,0,0,0,0,0,2,0,1
"NBPF9",1,265,2,0,0,0,1,3,31,34214,0,0,68,12,16,65,0,1,2,2
"NBPF19",0,314,24,0,0,21,15,30,24,45372,20,2,23,19,10189,139,5,1,7,4
"S100A9",4,32523,1,5,0,7,0,4,6,8,2,22480,3,14,19067,6,0,1962,103589,1
"S100A8",12,54279,2,1,0,13,5,0,0,0,2,18996,0,9,20789,3,2,0,60,0
"RPS27",34,67055,0,340,2,5913,3,255,134420,315,24,19394,3,2,7683,8,3,22497,3399,3
"GON4L",3,8899,15,0,0,5,0,18,0,0,5,571,0,0,0,26,0,0,0,1
"IFI16",0,6019,0,0,0,4,0,9,19,27,0,0,0,0,0,0,0,76,226991,3
"FCGR2B",0,1,2,0,6,0,0,32,10,64,0,0,0,0,11,0,0,53,224307,2
